City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Tiksi,71.6872,128.8694,-12.71,100,74,4.03,RU,1733102971
81,Florø,61.5996,5.0328,44.56,93,100,13.8,NO,1733103115
82,Edinburgh of the Seven Seas,-37.0676,-12.3116,62.8,92,100,31.03,SH,1733103116
83,Hobyo,5.3505,48.5268,78.39,70,18,17.81,SO,1733103118
84,Chonchi,-42.6128,-73.8092,42.8,84,23,3.76,CL,1733103120
85,Itaporanga,-7.3044,-38.1503,80.13,66,65,12.53,BR,1733103121
86,Puerto Natales,-51.7236,-72.4875,40.06,91,100,7.65,CL,1733103122
87,Wailua Homesteads,22.0669,-159.378,79.59,74,40,10.36,US,1733103124
88,Badger,64.8,-147.5333,-23.01,75,0,4.61,US,1733103125
89,Tura,25.5198,90.2201,65.7,74,99,1.9,IN,1733103126
90,Albany,42.6001,-73.9662,27.45,73,20,1.01,US,1733103077
91,Sanctuary Point,-35.1114,150.629,84.56,40,0,1.99,AU,1733103128
92,Arraial do Cabo,-22.9661,-42.0278,73.69,92,5,16.51,BR,1733103129
93,Iqaluit,63.7506,-68.5145,13.73,62,40,12.66,CA,1733102959
94,Bardai,11.65,7.2333,62.2,25,56,10.33,NG,1733103132
95,Minas de Marcona,-15.2119,-75.1103,59.76,87,100,11.97,PE,1733103133
96,Faya-Largeau,17.9257,19.1043,63.19,32,50,17.9,TD,1733102928
97,Mugumu,-1.85,34.7,62.58,90,100,2.71,TZ,1733103136
98,Flying Fish Cove,-10.4217,105.6791,82.54,73,14,5.99,CX,1733103137
99,Port Mathurin,-19.6833,63.4167,76.15,75,30,14.47,MU,1733103138
100,Aykhal,66.0,111.5,-20.36,88,86,8.08,RU,1733103139
101,Tual,-5.6667,132.75,84.36,67,100,7.11,ID,1733103140
102,São Pedro da Aldeia,-22.8392,-42.1028,73.2,92,0,13.65,BR,1733103141
103,Whitehorse,60.7161,-135.0538,2.17,77,100,9.22,CA,1733103143
104,Onega,63.9061,38.1404,37.8,93,100,15.55,RU,1733103144
105,Kurumkan,54.3,110.3,-7.58,86,25,2.8,RU,1733103145
106,Olonkinbyen,70.9221,-8.7187,13.17,76,100,30.49,SJ,1733103146
107,Arkhangelsk,64.5401,40.5433,35.71,100,100,8.95,RU,1733103148
108,Margaret River,-33.95,115.0667,60.39,63,97,17.29,AU,1733103149
109,Campbellsville,37.3434,-85.3419,25.23,73,79,6.62,US,1733103150
110,Yulinshi,38.2906,109.7494,29.43,23,3,5.21,CN,1733103151
111,Avarua,-21.2078,-159.775,78.85,78,100,13.8,CK,1733103152
112,Copala,16.65,-98.9833,76.14,84,1,5.12,MX,1733103154
113,Holualoa,19.6228,-155.9522,79.86,54,0,8.05,US,1733103155
114,Kharp,66.8014,65.8081,6.58,94,93,6.98,RU,1733103156
115,Ust-Nera,64.5667,143.2,0.99,99,100,1.86,RU,1733103157
116,Longyearbyen,78.2186,15.6401,10.24,67,40,3.44,SJ,1733103158
117,Pacific Grove,36.6177,-121.9166,61.65,72,0,1.01,US,1733103160
118,Kununurra,-15.7667,128.7333,87.78,74,99,5.75,AU,1733102933
119,La Passe,45.5549,-0.8967,56.21,93,100,5.7,FR,1733103162
120,Zeribet el Oued,34.6828,6.5111,54.99,65,0,1.05,DZ,1733103163
121,Carnarvon,-24.8667,113.6333,72.73,59,6,16.58,AU,1733103164
122,Howrah,22.5892,88.3103,69.8,73,75,0.0,IN,1733103166
123,Kavieng,-2.5744,150.7967,84.58,69,51,2.75,PG,1733103167
124,Juneau,58.3019,-134.4197,23.41,93,100,0.0,US,1733103168
125,Nova Xavantina,-14.6667,-52.35,73.29,98,100,4.5,BR,1733103169
126,Touros,-5.1989,-35.4608,78.53,84,11,11.92,BR,1733103170
127,Yantarnyy,54.8717,19.9381,40.08,77,2,17.25,RU,1733103172
128,Trevelin,-43.0858,-71.4639,38.39,85,28,7.34,AR,1733103173
129,Amga,60.8953,131.9608,-6.5,94,100,1.97,RU,1733103174
130,College,64.8569,-147.8028,-22.92,72,75,4.61,US,1733103175
131,Ribeira Grande,38.5167,-28.7,63.77,91,49,5.99,PT,1733103176
132,Tazovsky,67.4667,78.7,10.08,96,100,8.3,RU,1733103178
133,Bengkulu,-3.8004,102.2655,75.65,94,100,6.64,ID,1733103179
134,Bonthe,7.5264,-12.505,78.84,80,10,5.06,SL,1733103180
135,Ilulissat,69.2167,-51.1,6.82,61,100,3.44,GL,1733103181
136,Hithadhoo,-0.6,73.0833,81.7,81,100,21.94,MV,1733103182
137,Lingyuan,41.24,119.4011,20.95,26,0,17.83,CN,1733103184
138,Siparia,10.1333,-61.5,77.7,87,19,11.54,TT,1733103185
